Census tract;DM1;DM2;DM3;DM4;EC1;EC2;EC3;ED1;ED2;HS1;HS2;HS3;HS4;HS5;EN1
411520005010001;2.22;1.45;41.24;0.73;7.25;3.99;14.49;0;0.36;0;1.45;100;100;37.32;0.211988605530216
411520005010002;2.37;0.99;34.45;0.63;3.96;7.59;14.19;0;0.33;0;15.23;100;60.6;39.07;0.157179532922748
411520005010003;2.54;0.97;37.61;0.61;5.44;10.1;9.9;0;0.78;0;14.17;100;84.08;31.46;0.13583057751613
411520005010004;2.65;0.71;41.02;0.8;3.19;15.6;12.41;3.7;0.71;0;6.38;100;10.99;27.66;0.194263263605535
411520005010005;2.74;0.39;32.26;0.71;3.53;9.41;7.06;0;0.39;0;5.1;99.61;23.53;27.06;0.200032769888639
411520005010006;2.92;0;32.3;0.83;1.14;19.09;7.41;0;0.85;0;51.85;100;42.74;22.79;0.191643264854238
411520005010007;2.62;0;32.59;1.75;2.2;10.62;8.79;0;0.37;0;10.99;100;100;47.62;0.159865068949082
411520005010008;2.25;4.55;28.44;0.88;9.7;5.15;16.04;0;0.59;1.39;10.16;100;75.3;56.18;0.131733150186263
411520005010009;2.64;2.24;32.32;0.85;5.77;4.17;19.23;0;1.92;5.13;2.24;99.68;91.35;46.15;0.205945030665926
411520005010010;2.83;0.46;37.47;0.4;5.02;16.44;5.02;3.85;0;0;34.25;99.54;58.9;24.2;0.205588411772624
411520005010011;2.84;0;37.63;0.64;1.56;26.04;4.17;0;0;0;39.06;100;100;20.31;0.192033461605509
411520005010012;2.91;0.67;32.86;1;3.58;15.66;3.8;0;0.89;0;30.43;99.55;32.44;19.02;0.181147971855743
411520005010013;2.75;0.81;40.17;0.89;4.07;10.98;10.57;0;0.41;0;19.92;100;37.8;30.89;0.189152762640137
411520005020001;3.21;0;40.13;0.93;1.87;10.45;16.79;0;1.87;0;22.47;98.13;100;30.71;0.274608714637732
411520005020002;3.07;0;44.56;0.67;0.38;14.45;16.35;0;0;0;28.9;99.62;100;28.9;0.303068505721457
411520005020003;3.01;0.53;46.41;0.61;4.74;7.89;19.47;3.85;1.58;0;30.53;100;100;35.26;0.269067953295178
411520005020004;3.12;6.83;44.61;0.9;15.26;6.83;22.49;0;1.2;0.4;29.72;99.6;100;32.93;0.273520385305136
411520005020006;2.54;2.31;24.78;0.56;9.25;1.03;23.91;0;0.77;0;1.54;99.23;69.41;37.79;0.256931249797344
411520005020007;2.72;0.33;33.33;0.98;5.65;1.99;19.27;3.39;0.66;0;1.33;99;66.78;32.23;0.28680376742297
411520005020008;3.19;0;35.9;0.62;11.3;3.95;22.6;0;2.26;0;17.51;95.48;100;41.81;0.301674327756985
411520005030001;2.79;0;35.95;0.62;4.87;1.3;22.08;3.57;1.95;0.97;3.57;97.08;91.23;41.23;0.25705877398806
411520005030002;2.94;0.63;41.11;1.07;2.19;0.31;39.81;1.59;3.13;0;4.08;99.69;99.69;42.32;0.279246724233395
411520005030003;2.96;0;40.93;0.94;5.63;0.94;47.89;4;3.76;0.94;4.23;99.53;100;59.15;0.263003147790365
411520005030004;2.9;1.05;35.68;0.72;3.85;1.05;45.45;0;2.1;0.35;1.05;94.41;100;51.05;0.31218618336557
411520005030005;2.66;0.38;38.66;1;7.17;2.64;26.42;0;2.26;0.38;4.17;98.86;92.42;49.24;0.272271261873998
411520005030006;2.8;1.16;31.48;0.98;4.34;3.76;21.1;0;0.58;0;8.38;96.53;90.46;50.87;0.216029623858966
411520005030007;2.98;0;43.74;1.14;3.6;1.2;34.8;2.33;3.6;0;3.2;99.6;100;58;0.213018664180709
411520005030008;2.84;0.45;41.33;0.94;6.7;0.89;55.36;0;5.36;0;1.79;97.32;99.55;59.82;0.288232286428583
411520005030009;2.82;0.75;34.23;1.07;4.14;1.5;42.86;0;2.26;2.26;1.5;93.61;100;51.5;0.279559626454307
411520005040001;2.82;0.39;44.27;0.96;1.93;3.47;23.94;0;0.39;0.78;6.98;99.61;99.61;43.02;0.217257798525474
411520005040002;2.85;0.59;40.99;0.72;2.94;12.35;10;0;0;0;31.18;98.82;69.41;29.41;0.248860882472492
411520005040004;3.02;0;33.84;1.14;6.32;2.3;31.03;0;2.3;0.57;12.64;97.7;100;25.86;0.340887979480876
411520005040005;3.09;0.5;36.11;1.13;3.48;3.98;33.83;0;5.97;0;9.95;92.54;100;42.29;0.358948862189569
411520005040006;2.93;1.52;43.1;0.69;4.55;4.55;21.72;0;0.51;0;16.16;96.97;96.97;30.81;0.344449490966166
411520005040007;2.75;1.59;37.3;1.1;15.87;1.59;18.73;0;0.32;0;6.35;99.05;95.87;33.97;0.284424257513724
411520005040008;2.83;0;37.47;0.29;1.63;9.24;22.83;10.53;4.35;0;15.22;99.46;100;38.04;0.284813793036189
411520005040009;2.89;4.55;40.22;0.98;19.32;2.84;23.3;0;1.7;0;21.59;99.43;100;36.36;0.295410311315209
411520005050001;3.06;0;40.85;0.46;3.96;5.94;25.74;0;1.98;0;33.83;98.01;100;32.34;0.355235335428313
411520005050002;3.06;0.75;41.86;0.93;8.68;5.28;16.6;0;1.13;0;26.79;99.25;99.62;34.34;0.314948308308992
411520005050003;2.99;0;43.39;0.47;3.72;5.57;22.91;0;0.93;0;18.58;98.45;99.07;30.65;0.313196123673998
411520005050004;3.31;0;40.8;1.04;2.17;7.58;22.02;2.5;2.89;0;31.52;97.46;99.64;27.9;0.282040263460184
411520005050005;2.95;1.05;37.84;0.45;7.37;2.63;28.95;0;1.58;0;10;96.84;99.47;36.84;0.23338198033618
411520005050006;3.19;0.27;36.52;0.72;4.38;4.66;26.03;0;1.1;0;26.03;89.86;99.73;33.7;0.295060340325423
411520005050007;3.04;0.36;43.85;0.7;6.57;2.92;22.99;0;2.55;0;11.36;99.63;99.27;32.23;0.257333468993185
411520005060001;2.96;1.33;36.2;0.84;11;0.33;60;3.39;6.33;0;2;99.33;100;51.33;0.263108808413085
411520005060002;2.77;0.88;44.77;1.13;7.92;1.47;52.79;0;4.99;0.59;4.41;91.47;99.41;54.71;0.293260160099828
411520005060003;2.85;1.53;35.17;0.75;12.27;0.61;49.69;0;3.37;0;3.07;72.09;100;51.53;0.292520295718744
411520005060004;3;2.13;35.99;0.89;22.34;0.53;43.62;0;2.66;0;4.3;42.47;93.55;49.46;0.233891318313496
411520005070001;2.81;2.03;26.25;0.66;3.72;7.43;14.19;2.86;0.68;0;3.38;97.97;99.66;36.82;0.213774490822786
411520005070002;2.76;1.76;25.4;0.96;10.58;5.04;16.12;0;0.25;0;3.53;98.74;68.01;41.56;0.245465807616711
411520005070003;2.75;0.9;31.75;1.43;4.29;3.84;16.93;0;0.45;0;1.35;97.29;88.04;41.08;0.25162526352538
411520005070004;2.61;0.37;28.83;0.85;2.95;1.48;13.65;0;0.37;0;3.69;99.63;100;43.17;0.201214896308051
411520005070005;2.66;3.28;26.08;0.96;10.58;4.74;12.77;4;0.73;0;4.38;100;59.49;50.36;0.190053660422564
411520005070006;2.86;0.4;36.93;1.11;4.35;2.77;9.88;0;0.4;0;4.74;100;35.18;36.76;0.217529791257074
411520005070007;2.63;2.22;26.51;1.13;11.85;1.85;16.67;0;0.74;0;3.7;100;75.56;42.96;0.168431572656157
411520005070008;2.22;9.15;14.37;0.75;34.94;0.67;24.96;0;0.83;1.5;1;98.17;99.5;74.38;0.22418246858768
411520005070009;2;13.92;9.25;0.19;20.25;1.77;35.44;0;0.51;0;0.51;98.73;86.84;77.72;0.230377706870133
411520005070010;2.69;7.69;22.47;0.83;10.68;2.14;33.55;0;1.07;0;4.7;100;87.18;58.76;0.220484321312297
411520005070011;2.74;1.09;30.49;0.66;4.73;2.55;24;0;0;0;4.4;100;99.27;47.62;0.255860254671928
411520005070012;2.78;0.41;31.98;0.73;4.49;3.27;14.29;0;0;0;1.22;100;58.37;37.55;0.233307206934249
411520005070013;2.8;0;27.88;0.43;2.11;4.52;20.78;0;0.6;0.3;1.81;99.1;61.75;40.06;0.232686523208045
411520005070014;2.87;0;33.09;0.72;5.05;7.89;15.77;0;0.63;0;14.2;99.37;75.08;29.02;0.212341002359682
411520005070015;2.73;0.65;33.09;0.74;4.25;3.59;28.1;2.86;1.96;0.33;6.25;99.67;74.67;44.74;0.256679188596071
411520005070016;2.83;1.41;31.06;1.03;7.66;2.62;22.78;0;3.43;0;1.81;93.35;86.69;40.93;0.250412322690382
411520005070017;2.15;5.89;20.78;0.62;21.61;0.36;33.04;0;1.61;6.61;1.07;93.39;98.57;77.14;0.271117637193564
411520005070018;2.13;12.47;15.54;0.25;22.81;0.27;32.63;0;1.33;0.27;1.59;99.2;96.02;75.33;0.28745052199085
411520005070019;2.41;8.23;14.98;0.2;13.92;0;33.23;0;0;0;0.32;99.37;87.03;62.97;0.239789279685779
411520005070020;2.23;9.6;12.21;0.56;13.57;1.67;33.4;0;0.21;0;1.46;98.75;82.88;67.01;0.229262662160656
411520005070021;3.05;4.8;39.92;0.62;15.72;0.44;44.1;0;3.06;0;4.41;100;100;49.34;0.264789559249955
411520005070022;2.85;1.39;37.12;1.22;7.29;1.39;43.06;0;3.13;0;4.86;100;100;50.69;0.26472070609683
411520005070023;3.05;1.21;34.13;0.64;3.64;2.73;20;0;0.3;0;12.73;100;88.79;36.67;0.236784060218682
411520005070024;2.99;0;35.96;0.99;5.12;0.79;43.7;0;2.36;0;2.76;98.43;98.82;53.15;0.237869941768013
411520005070025;2.25;18.96;12.45;0.74;40.52;0;26.39;0;0.74;0;0.37;97.4;98.51;74.72;0.425677505778995
411520005070026;2.86;11.97;15.18;0.31;1.76;0.35;49.65;13.33;0.7;0;0.7;100;25.35;69.37;0.364907122471116
411520005070027;2.51;7.69;15;0.65;4.76;1.47;45.05;0;0.73;0;3.66;99.63;91.94;65.2;0.266627848148346
411520005070028;3.06;1.2;34.97;0.85;6;0.4;50.8;1.82;3.2;0.8;1.2;99.2;100;50.4;0.231645770072672
411520005070029;2.82;3.4;18.29;0.48;8.84;0;37.41;0;0;0;0;100;92.52;63.27;0.410043772764322
411520005070030;2.94;8.48;20.65;0.31;15.15;0;39.39;4.76;3.03;0;0.61;97.58;20.61;55.76;0.359500195445686
411520005070031;2.33;11.39;10.8;0.64;2.53;0.25;41.77;0;1.01;0;1.27;95.43;89.34;68.78;0.228935652425591
411520005070032;2.7;5.84;28.2;1.11;4.98;1.89;32.13;0;1.2;0.17;3.95;91.07;95.53;51.37;0.387413338442779
411520005080001;2.87;0;42.7;1.61;0.54;3.26;37.5;0;2.72;0;9.24;96.74;100;51.63;0.248582646637768
411520005080002;2.98;0.52;51.44;0.78;6.77;0.52;43.75;0;6.77;0;2.08;98.44;100;50.52;0.303759852440461
411520005080003;3.06;0.37;40.44;0.67;0.37;1.12;40.15;0;1.86;0;10.04;94.05;100;39.78;0.265763899832163
411520005080004;2.97;1.29;30.78;0.83;3.88;5.6;18.1;0;0.86;0;15.52;99.14;100;37.5;0.297919875422505
411520005080005;3.31;0.44;51.71;0.77;1.76;7.93;30.84;3.7;9.25;0;32.59;83.93;97.32;28.13;0.384857779069291
411520005080006;2.99;5.45;44.63;1.89;21.01;0;56.03;2;9.34;0;0.39;97.67;99.61;60.31;0.2842765459922
411520005080007;3.1;2.88;43.35;1.06;11.93;0.41;58.44;1.59;4.53;0;1.65;100;99.18;64.61;0.253175319224182
411520005080008;2.59;11.96;29.7;0.92;15.31;5.98;20.81;1.09;0.24;0;24.16;50.48;73.44;43.78;0.315907316241604
411520005080010;2.82;7.32;38.27;1.64;22.3;1.05;52.96;1.92;4.88;0;1.74;98.95;100;59.58;0.316535981992881
411520005090001;2.62;2.22;30.32;1.24;2.22;0;25.56;0;2.22;0;0;98.89;100;75.56;0.152313167036956
411520005090002;1.83;0;83.33;0;0;0;33.33;0;0;16.67;16.67;83.33;100;66.67;0.15850760799852
411520005090003;2.56;1.6;26.51;0.93;3.72;1.06;26.06;6.67;2.66;0;1.06;99.47;98.94;54.26;0.150504138558212
411520005090004;2.56;1.23;30.72;1.2;6.13;0;22.09;0;0;0;0;99.39;4.29;40.49;0.173554270293564
411520005100001;2.61;0;32.75;1.33;8.62;0;21.55;0;0;0;0;95.65;35.65;27.83;0.22316817915146
411520005110001;2.55;3.57;28.01;0.85;4.08;0.26;41.33;0;1.79;0;2.81;98.98;100;67.01;0.26767672804621
411520005110002;2.85;0.32;37.61;1;5.38;0;45.25;0;6.01;0;1.9;95.89;99.68;53.48;0.270851119199679
411520005110003;3.05;0;40.19;0.46;4.53;1.65;34.57;2.78;4.12;0;3.29;99.18;100;55.14;0.289655689278553
411520005110004;2.53;0.9;29.07;0.58;2.39;2.09;39.7;0;4.48;0;3.63;99.4;92.45;58.61;0.252847796293343
411520005120001;2.95;2.29;36.75;1.03;5.34;0.76;54.2;0;10.69;0;2.29;100;98.47;52.67;0.272290386336366
411520005130001;3.19;0;33.87;0.8;7.69;0;37.18;0;0;0;7.69;83.33;100;46.15;0.291354768530086
411520005140002;3.17;1.23;32.65;0.48;4.91;3.68;19.63;2.56;0.61;0.61;10.43;98.16;99.39;41.72;0.437377466384424
411520005140003;3.14;0.65;36.56;0.89;4.25;0;36.93;0;3.27;0;8.5;97.71;98.04;48.04;0.355238606387669
411520005150001;2.77;1.24;35.83;0.97;13.22;1.24;32.64;0;2.48;0.41;0.41;100;98.76;43.39;0.201676145891807
411520005150002;2.63;0.49;32.27;1.48;0.97;0;33.01;2.63;2.43;0;0.97;99.03;33.98;49.03;0.266339237039739
411520005170001;3.44;0;38.61;0.48;1.64;6.56;16.39;0;0;0;36.89;100;100;21.31;0.239209564941481
411520005170002;3.09;0;32.79;1.23;4.83;4.14;7.93;0;0.34;0;12.07;96.55;100;25.52;0.290754060517868
411520005170003;3.44;0;31.93;0.5;4.62;8.67;10.98;0;0;0;45.09;100;99.42;19.65;0.196632202509995
411520005170004;2.99;0.66;40.5;1.95;7.64;0.33;45.85;0;7.64;0.67;3.34;96.66;100;41.47;0.333993346424577
411520005170005;2.55;0.56;34.67;1.27;5.06;0.28;34.27;3.23;1.69;0;1.12;97.19;98.31;34.55;0.347523192894268
411520005170006;2.52;1.21;28.4;1.6;1.61;1.61;16.13;0;0.81;0;8.47;98.39;72.18;35.48;0.358882337324106
411520005170007;2.89;0;36.79;1.11;6.01;3.65;16.31;1.25;0.21;0;3.43;100;56.87;25.97;0.255829249746608
411520005180001;2.93;0;34.46;0.89;10.12;0;52.76;1.85;3.37;0;0.92;98.16;85.58;44.48;0.288101247061562
411520005180002;2.9;0.54;36.99;0.84;3.78;0;55.14;0;3.24;0;2.16;58.92;98.92;35.68;0.324785626759372
411520005190001;3.28;0.97;37.53;1.33;5.31;0;48.79;3.64;5.8;0;0;0.97;100;28.99;0.375654071305705
411520005190002;3.12;1.66;35.37;1.02;9.39;0;45.86;0;3.87;0;0;3.31;99.45;31.49;0.3055571053798
411520005190003;3.22;2.04;42.36;1.38;16.79;0;63.1;4.35;10.69;0;0;41.73;98.47;41.48;0.348899863235691
411520005190004;3.14;0.43;39.88;1.31;11.69;0;58.44;1.56;6.93;0;0.43;1.3;100;42.86;0.356757149538573
411520005190005;3.41;1.41;38.75;1.24;9.27;0;46.77;0.59;3.02;0.2;0.2;1.41;98.99;27.42;0.332464539760741
411520005190006;3.75;0;25;0;0;0;75;0;25;0;0;0;37.5;62.5;0.385300747699814
411520005190007;3.32;6.68;41.92;1.56;21.94;0;53.9;1.99;5.35;0.11;0.33;4.01;98.77;29.21;0.283842692081958
411520005190008;3.08;1.22;35.76;1.44;13.46;0;63;0;8.56;0.61;0.61;3.68;97.85;48.16;0.381178537136792
411520005200001;3.13;0.37;40.7;1.18;10.7;0;66.42;1.41;5.54;0;0;52.77;99.26;42.07;0.293343810985486
411520005200002;3.18;2.31;42.18;1.66;7.92;0;59.08;0;4.29;0;0;52.81;99.34;30.03;0.293061699083558
411520005200003;3.34;1.48;41.69;1.38;8.12;0;64.58;0;6.64;0.37;0.37;94.07;99.63;43.7;0.306930166227047
411520005200004;3.26;0;43.66;1.67;2.83;0;64.15;3.33;10.38;0;0;91.94;99.05;46.92;0.35920599012912
411520005200006;3.12;0.51;38.15;1.9;3.55;3.55;20.59;0.46;0.81;0.1;9.03;53.14;95.74;31.85;0.280432607187252
411520005200007;3.26;0.36;38.08;1.3;6.87;7.59;24.41;3.52;2.17;0;24.95;37.79;94.58;25.86;0.379756638291162
411520005210001;2.91;0;41.85;1.35;2.48;0;68.6;0;6.2;0.41;0;87.19;100;47.52;0.359800330466694
411520005210002;3.09;0.76;46.52;1.15;5.57;0;58.48;0;8.35;0.25;1.52;91.14;100;39.75;0.329096288157969
411520005210003;2.97;2.5;43.15;0.71;12.5;0.83;53.33;0;2.5;0;0;90.6;100;48.72;0.262035234520833
411520005210004;3.08;0.31;30.85;1.22;2.19;1.56;24.69;1.56;1.25;0;2.19;96.25;85.63;38.44;0.26153197471117
411520005210005;3.09;0;31.34;1.05;1.14;1.14;29.28;0;2.28;0;4.18;99.62;100;43.73;0.315910068633673
411520005210006;3.02;0.57;31.72;1.04;4.84;1.42;27.64;0;1.42;0;2.85;99.15;91.17;37.04;0.310917610988805
411520005210007;3.24;0;29.84;1.28;5.22;2.17;16.96;0;0;0;9.61;100;94.32;42.79;0.228999510877304
411520005210008;3.09;0.4;32.6;0.71;4.35;0.79;32.02;0;2.37;0;6.35;97.22;100;38.49;0.282250202645858
411520005210009;3.31;0;33.74;0.6;3;1.5;33;0;2;0;6.5;92.5;99.5;42.5;0.31750922363538
411520005210010;3.04;0.49;40.9;1.04;11.17;0;70.87;0;10.68;0;0.49;99.51;100;44.66;0.325440432503819
411520005210011;3.46;0;46.97;0;7.14;0;17.86;0;3.57;0;14.29;96.43;100;35.71;0.185908641782589
411520005210012;4.21;7.14;37.21;1.69;14.29;0;57.14;0;0;0;7.14;92.86;100;57.14;0.443630554057934
411520005210014;3.29;1.79;51.18;1.83;19.69;0;57.54;0.77;5.37;0.26;1.02;93.35;99.74;47.31;0.429120062888585
411520005210015;3.08;5.17;44.89;1.55;15.91;0.21;42.77;0.81;5.99;1.04;3.53;54.15;88.8;48.34;0.247180094411139
411520005220001;3.18;1.14;36.22;1.62;5.7;0.76;50.95;1.56;4.18;0;2.3;1.92;96.93;19.92;0.38503182522681
411520005230001;3;2.34;37.47;0.86;12.15;0.47;58.41;5.08;1.87;0;1.87;100;100;63.08;0.303246049225823
411520005230002;3.06;0;41.24;1.17;1.34;0;62.05;0;3.13;0;0.89;94.64;100;54.02;0.283050699546786
411520005230003;2.78;0;43.12;1.1;15.35;0;62.72;0;6.58;0;0.44;96.93;99.56;49.56;0.287718480009408
411520005230004;2.73;0;42.94;1.16;5.82;0.53;62.43;0;6.88;0;0.53;100;98.41;57.67;0.299698732524033
411520005230005;2.9;0.31;40.06;1.19;8.46;0.31;46.08;1.69;3.13;0.63;1.89;96.54;99.69;58.49;0.290253402117421
411520005230006;3.03;0;39.29;0.8;2.43;0;40.29;0;3.4;0;1.94;100;99.51;61.65;0.316003499002684
411520005230007;2.84;0.79;41.81;1.06;8.4;0;54.07;1.43;3.67;0;1.05;99.48;100;58.27;0.317377559118596
411520005230008;2.97;0;39.2;1.38;2.14;0;55;0;1.43;0;1.43;96.79;100;56.79;0.318222849474599
411520005230009;2.95;2.52;41.96;1.18;10.92;0;52.94;0;2.24;2.81;0.84;99.16;100;53.37;0.288060916215181
411520005230010;3.04;0;40.91;1.19;3.61;0;50.48;0;3.85;0;1.2;95.43;100;54.57;0.31959315221552
411520005230011;3.13;0;47.47;1.34;4.79;0.3;58.08;0;4.19;0;0;98.5;100;49.1;0.309006346888106
411520005230012;2.88;0.32;39.47;0.62;5.48;0.32;51.61;0;6.77;0;0.65;97.42;100;37.74;0.312275636745917
411520005230013;2.83;0.35;47.54;0.68;2.45;0;41.96;0;2.8;0.35;2.8;98.25;100;50;0.275046447946873
411520005230014;3;0.71;47.22;1;2.12;0.35;50.88;0;3.89;0;0.35;98.94;100;51.94;0.294364073320671
411520005240001;3.11;1.65;39.14;1.02;9.92;0;57.58;2.74;6.34;0;0.28;94.17;99.72;51.94;0.356461158913115
411520005240002;3.05;0.48;39.6;1.03;1.45;0;56.52;0;0.48;0;0.97;100;100;53.88;0.34345632713909
411520005240003;2.99;0.93;39.16;1.3;3.73;0.31;53.73;0;4.97;0;0;97.52;99.69;53.42;0.324215087753076
